SlidesLive link,Title,unique ID,Organizer track name,SlidesLive link,embed code
slideslive.com/38931025,Coordination without communication: optimal regret in two players multi-armed bandits,172,Long (15 minutes),38931025,"<div id=""presentation-embed-38931025""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931025', {
        presentationId: '38931025',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931026,EM Algorithm is Sample-Optimal for Learning Mixtures of Well-Separated Gaussians,177,Long (15 minutes),38931026,"<div id=""presentation-embed-38931026""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931026', {
        presentationId: '38931026',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931027,Online Learning with Vector Costs and  Bandits with Knapsacks,178,Long (15 minutes),38931027,"<div id=""presentation-embed-38931027""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931027', {
        presentationId: '38931027',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931028,Better Algorithms for Estimating Non-Parametric Models in Crowd-Sourcing and Rank Aggregation,179,Long (15 minutes),38931028,"<div id=""presentation-embed-38931028""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931028', {
        presentationId: '38931028',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931029,Nearly Non-Expansive Bounds for Mahalanobis Hard Thresholding,180,Long (15 minutes),38931029,"<div id=""presentation-embed-38931029""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931029', {
        presentationId: '38931029',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931030,Learning Halfspaces with Massart Noise Under Structured Distributions,181,Long (15 minutes),38931030,"<div id=""presentation-embed-38931030""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931030', {
        presentationId: '38931030',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931031,Rigorous Guarantees for Tyler's M-Estimator via Quantum Expansion,183,Long (15 minutes),38931031,"<div id=""presentation-embed-38931031""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931031', {
        presentationId: '38931031',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931032,Active Learning for Identification of Linear Dynamical Systems,184,Long (15 minutes),38931032,"<div id=""presentation-embed-38931032""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931032', {
        presentationId: '38931032',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931033,Bounds in query learning,192,Long (15 minutes),38931033,"<div id=""presentation-embed-38931033""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931033', {
        presentationId: '38931033',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931034,Active Local Learning,195,Long (15 minutes),38931034,"<div id=""presentation-embed-38931034""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931034', {
        presentationId: '38931034',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931035,Kernel and Rich Regimes in Overparametrized Models,196,Long (15 minutes),38931035,"<div id=""presentation-embed-38931035""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931035', {
        presentationId: '38931035',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931036,Learning Zero-Sum Simultaneous-Move Markov Games Using Function Approximation and Correlated Equilibrium,197,Long (15 minutes),38931036,"<div id=""presentation-embed-38931036""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931036', {
        presentationId: '38931036',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931037,Finite-Time Analysis of Asynchronous Stochastic Approximation and $Q$-Learning,202,Long (15 minutes),38931037,"<div id=""presentation-embed-38931037""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931037', {
        presentationId: '38931037',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931038,Parallels Between Phase Transitions and Circuit Complexity?,206,Long (15 minutes),38931038,"<div id=""presentation-embed-38931038""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931038', {
        presentationId: '38931038',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931039,Hierarchical Clustering: A 0.585 Revenue Approximation,208,Long (15 minutes),38931039,"<div id=""presentation-embed-38931039""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931039', {
        presentationId: '38931039',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931040,Gradient descent follows the regularization path for general losses,209,Long (15 minutes),38931040,"<div id=""presentation-embed-38931040""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931040', {
        presentationId: '38931040',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931041,Bessel Smoothing and Multi-Distribution Property Estimation,212,Long (15 minutes),38931041,"<div id=""presentation-embed-38931041""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931041', {
        presentationId: '38931041',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931042,Privately Learning Thresholds: Closing the Exponential Gap,219,Long (15 minutes),38931042,"<div id=""presentation-embed-38931042""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931042', {
        presentationId: '38931042',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931043,Pessimism About Unknown Unknowns Inspires Conservatism,221,Long (15 minutes),38931043,"<div id=""presentation-embed-38931043""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931043', {
        presentationId: '38931043',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931044,The Influence of Shape Constraints on the Thresholding Bandit Problem,227,Long (15 minutes),38931044,"<div id=""presentation-embed-38931044""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931044', {
        presentationId: '38931044',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931045,Finite Regret and Cycles with Fixed Step-Size via Alternating Gradient Descent-Ascent,228,Long (15 minutes),38931045,"<div id=""presentation-embed-38931045""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931045', {
        presentationId: '38931045',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931046,Efficient and robust algorithms for adversarial linear contextual bandits,239,Long (15 minutes),38931046,"<div id=""presentation-embed-38931046""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931046', {
        presentationId: '38931046',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931047,Non-asymptotic Analysis for Nonparametric Testing,246,Long (15 minutes),38931047,"<div id=""presentation-embed-38931047""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931047', {
        presentationId: '38931047',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
